wgi_glacier_id, glacier_name, lat, lon, total_area, area_in_state, area_exp, mean_width, mean_length, mean_depth, max_length, max_length_abl, max_length_exp, num_basins, topo_scale, mean_elev, max_elev, min_elev, min_elev_exp, mean_elev_acc, snow_line_elev, mean_elev_abl, orientation_acc, orientation_abl, primary_class 
CA2N003BO031, ,59.861,-137.614, , , ,0.7, , ,0.7, , , , , ,1780,1430,1430,1690, , , NE, NE,7
CA2O016CC077, ,60.067,-135.776, , , ,0.2, , ,0.1,2.1,0.2, , , ,1920,1765, , , ,1830, , NE,9
CA2N001GK281, ,56.625,-130.747,0.06,0.06,0.06,0.4, ,10,0.4, , , , , ,1600,1400,1400, , , , NE, NE,7
CA2O016CB020, ,60.254,-135.654, , , ,0.8, , , ,0.2,0.8, , , ,1920,1765, , , ,1830, , N,9
CA2N001GK095, ,56.783,-130.372,0.04,0.04,0.04,0.4, ,10,0.4, , , , , ,1500,1450,1450, , , , NE, NE,7
CA2N001CC677, ,57.311,-129.752,0.08,0.08,0.08,0.4, ,10,0.4,0.2, , , , ,1951,1791,1791,1829, , , N, N,6
CA2N001GH245, ,57.543,-129.902,0.06,0.06,0.06,0.4, ,10,0.4, , , , , ,2070,1980,1980,2030, , , E, E,7
CA2N003BL040, ,60.7,-137.896, , , ,0.5, , , ,0.4,0.5, , , ,1070,910, , , ,1020, , S,9
US2A00105001, ,68.267,-154.45,0.18,0.18, , , , ,0.6, , , ,63360, ,1950,1770, , , , , NW, NW,6
CA2N003BO009, ,59.991,-137.61, , , ,0.9, , ,0.9,0.4,0.4, , , ,2130,1720,1720,1950,1890,1840, S, S,6
CA2O016CC045, ,59.866,-135.63, , , , , , , ,0.4,0.3, , , ,2260,1830,1830,2100,2010,1920, NW, NW,6
CA2O014AN079, ,61.036,-139.266,0.27,0.27,0.27,0.6, , ,0.6,0.4,0.4, , , ,2450,2130,2130,2440,2420,2280, NW, NW,6
CA2O014BG013, ,61.508,-140.945,3.54,3.54,3.54,0.8, , ,0.8, ,0.1, , , ,3260,2470,2470,2745, , , N, N,7
CA2N002ED076, ,59.792,-135.775, , , ,0.4, , ,0.4,0.4,0.3, , , ,1980,1370,1370,1890,1680,1520, SE, E,5
CA2N001AD456, ,57.546,-128.928,0.55,0.55,0.55,0.8, ,25,0.8,0.2,0.1, , , ,2226,1920, ,2042,2042,2012, N, N,6
CA2N001FC135, ,57.132,-131.759,0.01,0.01,0.01,0.4, ,10,0.4,0.2, , , , ,1100,860,860,1000, , , N, N,7
CA2N001FI145, ,57.164,-131.36,0.68,0.68,0.68,0.2, ,25,0.2,0.2,0.2, , , ,1920,1402,1402,1725,1478,1448, NE, NE,6
CA2N003AI167, ,60.664,-137.635, , , ,0.6, , ,0.4,2.2,0.1, , , ,2135,1585,1675,1985,1890,1855, W, W,5
CA2N001CC102, ,57.296,-129.357,0.03,0.03,0.03,0.2, ,10,0.2,0.2, , , , ,1768,1676,1676,1707, , , N, N,7
CA2N001GD090, ,57.009,-130.604,1.97,1.97,1.97,0.8, ,50,0.8,0.2,0.8, , , ,2045,1220,1220,1816,1490,1380, E, E,5
CA2N001BD072, ,57.85,-129.539,0.03,0.03,0.03,0.3, ,10,0.3, , , , , ,1775,1725,1725,1750, , , N, N,7
